name,url,level,hitpoints,max_hit,aggressive,accuracy,strength,defence,magic,range,speed,respawn_timer,loot
Dwarf,https://highspell.fandom.com/wiki/Dwarf,14,18,???,No,5 + 5 bonus,10 + 10 bonus,15 + 10 bonus,1,1,1,Unknown,"[{""item"": ""Bones"", ""quantity"": ""1"", ""rarity"": ""Always"", ""chance"": """"}, {""item"": ""Coins"", ""quantity"": ""6"", ""rarity"": ""0.2"", ""chance"": ""15{\\displaystyle \\frac{1}{5}}""}, {""item"": ""Half Beer"", ""quantity"": ""1"", ""rarity"": ""0.15"", ""chance"": ""16.667{\\displaystyle {\\frac {1}{6.667}}}""}, {""item"": ""Coins"", ""quantity"": ""8"", ""rarity"": ""0.1"", ""chance"": ""110{\\displaystyle \\frac{1}{10}}""}, {""item"": ""Iron Helm"", ""quantity"": ""1"", ""rarity"": ""0.1"", ""chance"": ""110{\\displaystyle \\frac{1}{10}}""}, {""item"": ""Iron Ore"", ""quantity"": ""1"", ""rarity"": ""0.1"", ""chance"": ""110{\\displaystyle \\frac{1}{10}}""}, {""item"": ""Beer"", ""quantity"": ""1"", ""rarity"": ""0.075"", ""chance"": ""113.333{\\displaystyle {\\frac {1}{13.333}}}""}, {""item"": ""Empty Glass Jar"", ""quantity"": ""1"", ""rarity"": ""0.07"", ""chance"": ""114.286{\\displaystyle {\\frac {1}{14.286}}}""}, {""item"": ""Iron Bar"", ""quantity"": ""1"", ""rarity"": ""0.07"", ""chance"": ""114.286{\\displaystyle {\\frac {1}{14.286}}}""}, {""item"": ""Hammer"", ""quantity"": ""1"", ""rarity"": ""0.05"", ""chance"": ""120{\\displaystyle \\frac{1}{20}}""}, {""item"": ""Bronze Pickaxe"", ""quantity"": ""1"", ""rarity"": ""0.05"", ""chance"": ""120{\\displaystyle \\frac{1}{20}}""}, {""item"": ""Iron Pickaxe"", ""quantity"": ""1"", ""rarity"": ""0.025"", ""chance"": ""140{\\displaystyle \\frac{1}{40}}""}, {""item"": ""Rare Loot Table"", ""quantity"": """", ""rarity"": ""0.01"", ""chance"": ""1100{\\displaystyle \\frac {1}{100}}""}, {""item"": ""Steel Pickaxe"", ""quantity"": ""1"", ""rarity"": ""0.005"", ""chance"": ""1200{\\displaystyle \\frac{1}{200}}""}]"
Elder Knight,https://highspell.fandom.com/wiki/Elder_knight,102,90,???,No,80 + 60 Bonus,80 + 60 Bonus,85 + 80 Bonus,1,1,1,Unknown,"[{""item"": ""Bones"", ""quantity"": ""1"", ""rarity"": ""Always"", ""chance"": """"}, {""item"": ""Coins"", ""quantity"": ""90"", ""rarity"": ""0.2"", ""chance"": ""1/5""}, {""item"": ""Coins"", ""quantity"": ""275"", ""rarity"": ""0.1"", ""chance"": ""1/10""}, {""item"": ""Water Scroll"", ""quantity"": ""30"", ""rarity"": ""0.1"", ""chance"": ""1/10""}, {""item"": ""Nature Scroll"", ""quantity"": ""30"", ""rarity"": ""0.875"", ""chance"": ""1/11.4""}, {""item"": ""Fire Scroll"", ""quantity"": ""30"", ""rarity"": ""0.075"", ""chance"": ""1/13.3""}, {""item"": ""Coins"", ""quantity"": ""400"", ""rarity"": ""0.05"", ""chance"": ""1/20""}, {""item"": ""Rare Loot Table"", ""quantity"": """", ""rarity"": ""0.05"", ""chance"": ""1/20""}, {""item"": ""Coins"", ""quantity"": ""625"", ""rarity"": ""0.05"", ""chance"": ""1/20""}, {""item"": ""Salmon"", ""quantity"": ""1"", ""rarity"": ""0.04"", ""chance"": ""1/25""}, {""item"": ""Warp Scroll"", ""quantity"": ""3"", ""rarity"": ""0.035"", ""chance"": ""1/28.57""}, {""item"": ""Alchemy Scroll"", ""quantity"": ""3"", ""rarity"": ""0.035"", ""chance"": ""1/28.57""}, {""item"": ""Red Cape"", ""quantity"": ""1"", ""rarity"": ""0.03"", ""chance"": ""1/33.33""}, {""item"": ""Palm Scroll(IOU)"", ""quantity"": ""10"", ""rarity"": ""0.02"", ""chance"": ""1/50""}, {""item"": ""Sakura Logs(IOU)"", ""quantity"": ""4"", ""rarity"": ""0.02"", ""chance"": ""1/50""}, {""item"": ""Palladium Bar(IOU)"", ""quantity"": ""2"", ""rarity"": ""0.02"", ""chance"": ""1/50""}, {""item"": ""Palladium Gloves"", ""quantity"": ""1"", ""rarity"": ""0.015"", ""chance"": ""1/66.67""}, {""item"": ""Palladium Helm"", ""quantity"": ""1"", ""rarity"": ""0.015"", ""chance"": ""1/66.67""}, {""item"": ""Palladium Pickaxe"", ""quantity"": ""1"", ""rarity"": ""0.0125"", ""chance"": ""1/80""}, {""item"": ""Topaz Necklace"", ""quantity"": ""1"", ""rarity"": ""0.01"", ""chance"": ""1/100""}, {""item"": ""Lucky Scroll(IOU)"", ""quantity"": ""5"", ""rarity"": ""0.01"", ""chance"": ""1/100""}, {""item"": ""Pumpkin"", ""quantity"": ""1"", ""rarity"": ""0.01"", ""chance"": ""1/100""}, {""item"": ""Palladium Longsword"", ""quantity"": ""1"", ""rarity"": ""0.01"", ""chance"": ""1/100""}, {""item"": ""Palladium Full Helm"", ""quantity"": ""1"", ""rarity"": ""0.0075"", ""chance"": ""1/133.3""}, {""item"": ""Palladium Shield"", ""quantity"": ""1"", ""rarity"": ""0.005"", ""chance"": ""1/200""}, {""item"": ""Ruby Necklace"", ""quantity"": ""1"", ""rarity"": ""0.0025"", ""chance"": ""1/400""}, {""item"": ""Silver Full Helm"", ""quantity"": ""1"", ""rarity"": ""0.00125"", ""chance"": ""1/800""}, {""item"": ""Silver Platelegs"", ""quantity"": ""1"", ""rarity"": ""0.001"", ""chance"": ""1/1000""}, {""item"": ""Silver Chestplate"", ""quantity"": ""1"", ""rarity"": ""0.0005"", ""chance"": ""1/2000""}, {""item"": ""Coronium Longsword"", ""quantity"": ""1"", ""rarity"": ""0.00025"", ""chance"": ""1/4000""}, {""item"": ""Coronium Shield"", ""quantity"": ""1"", ""rarity"": ""0.0001"", ""chance"": ""1/10000""}]"
Elf,https://highspell.fandom.com/wiki/Elf,35,45,???,No,40 + 25 bonus,30 + 25 bonus,35 + 30 bonus,1,1,1,Unknown,[]
Farmer,https://highspell.fandom.com/wiki/Farmer,5,13,???,No,1,2,5,1,1,1,Unknown,[]
Fighter Gnome,https://highspell.fandom.com/wiki/Fighter_gnome,30,32,???,No,16 + 15 bonus,16 + 15 bonus,20 + 15 bonus,15 + 5 bonus,1,1,Unknown,[]
Fire Dragon,https://highspell.fandom.com/wiki/Fire_Dragon,131,130,?,Yes,110,110,110 + 85 bonus,90,1,1,30s,[]
Fisherman,https://highspell.fandom.com/wiki/Fisherman,8,12,???,No,5,5,5,1,1,1,Unknown,"[{""item"": ""Bones"", ""quantity"": ""1"", ""rarity"": ""Always"", ""chance"": """"}, {""item"": ""Basic Rod"", ""quantity"": ""1"", ""rarity"": ""Always"", ""chance"": """"}, {""item"": ""Coins"", ""quantity"": ""3"", ""rarity"": ""0.5"", ""chance"": ""12{\\displaystyle \\frac{1}{2}}""}, {""item"": ""Raw Bass"", ""quantity"": ""1"", ""rarity"": ""0.25"", ""chance"": ""14{\\displaystyle \\frac{1}{4}}""}, {""item"": ""Raw Bluegill"", ""quantity"": ""1"", ""rarity"": ""0.1"", ""chance"": ""110{\\displaystyle \\frac{1}{10}}""}, {""item"": ""Logs"", ""quantity"": ""1"", ""rarity"": ""0.05"", ""chance"": ""120{\\displaystyle \\frac{1}{20}}""}, {""item"": ""Raw Crab"", ""quantity"": ""1"", ""rarity"": ""0.025"", ""chance"": ""140{\\displaystyle \\frac{1}{40}}""}, {""item"": ""Raw Tuna"", ""quantity"": ""1"", ""rarity"": ""0.025"", ""chance"": ""140{\\displaystyle \\frac{1}{40}}""}, {""item"": ""Great Rod"", ""quantity"": ""1"", ""rarity"": ""0.02"", ""chance"": ""150{\\displaystyle \\frac {1}{50}}""}, {""item"": ""Potion of Fishing (1)"", ""quantity"": ""1"", ""rarity"": ""0.01"", ""chance"": ""1100{\\displaystyle \\frac {1}{100}}""}, {""item"": ""Starfish"", ""quantity"": ""1"", ""rarity"": ""0.01"", ""chance"": ""1100{\\displaystyle \\frac {1}{100}}""}]"
Forest giant,https://highspell.fandom.com/wiki/Forest_giant,58,75,???,Yes,45 + 42 bonus,45 + 42 bonus,45 + 30 bonus,1,1,1,Unknown,[]
Forest Warrior,https://highspell.fandom.com/wiki/Forest_warrior,49,60,???,Yes,40 + 36 bonus,40 + 36 bonus,40 + 36 bonus,1,1,1,Unknown,[]
Frost Giant,https://highspell.fandom.com/wiki/Frost_giant,73,85,???,Yes,60 + 25 bonus,60 + 35 bonus,55 + 20 bonus,1,1,1,Unknown,[]
Frost Warrior,https://highspell.fandom.com/wiki/Frost_warrior,59,68,9,Yes,50 + 20 bonus,50 + 25 bonus,50 + 20 bonus,1,1,1,Unknown,[]
Ghost,https://highspell.fandom.com/wiki/Ghost,20,20,???,No,10,10,8 + 5 bonus,1,1,1,Unknown,[]
Giant Hell Rat,https://highspell.fandom.com/wiki/Giant_hell_rat,66,60,???,Yes,50,60,50,1,1,1,Unknown,[]
Giant Skeleton,https://highspell.fandom.com/wiki/Giant_skeleton,60,55,???,Yes,40 + 10 bonus,50 + 10 bonus,35 + 20 bonus,1,1,1,Unknown,[]
Giant,https://highspell.fandom.com/wiki/Giant,43,55,???,Yes,40 + 5 bonus,45 + 5 bonus,30 + 5 bonus,1,1,1,Unknown,"[{""item"": ""Giant Bones"", ""quantity"": ""1"", ""rarity"": ""Always"", ""chance"": ""11{\\displaystyle \\frac{1}{1}}""}, {""item"": ""Coins"", ""quantity"": ""20"", ""rarity"": ""0.15"", ""chance"": ""16.667{\\displaystyle {\\frac {1}{6.667}}}""}, {""item"": ""Energy Scroll"", ""quantity"": ""3"", ""rarity"": ""0.15"", ""chance"": ""16.667{\\displaystyle {\\frac {1}{6.667}}}""}, {""item"": ""Raw Bass"", ""quantity"": ""1"", ""rarity"": ""0.1"", ""chance"": ""110{\\displaystyle \\frac{1}{10}}""}, {""item"": ""Bass"", ""quantity"": ""1"", ""rarity"": ""0.1"", ""chance"": ""110{\\displaystyle \\frac{1}{10}}""}, {""item"": ""Iron Ore"", ""quantity"": ""1"", ""rarity"": ""0.09"", ""chance"": ""111.111{\\displaystyle {\\frac {1}{11.111}}}""}, {""item"": ""Low Root Table"", ""quantity"": """", ""rarity"": """", ""chance"": ""113.333{\\displaystyle {\\frac {1}{13.333}}}""}, {""item"": ""Coins"", ""quantity"": ""80"", ""rarity"": ""0.05"", ""chance"": ""120{\\displaystyle \\frac{1}{20}}""}, {""item"": ""Water Scroll"", ""quantity"": ""5"", ""rarity"": ""0.05"", ""chance"": ""120{\\displaystyle \\frac{1}{20}}""}, {""item"": ""Great Rod"", ""quantity"": ""1"", ""rarity"": ""0.04"", ""chance"": ""125{\\displaystyle \\frac{1}{25}}""}, {""item"": ""Potato"", ""quantity"": ""1"", ""rarity"": ""0.0275"", ""chance"": ""136.364{\\displaystyle {\\frac {1}{36.364}}}""}, {""item"": ""Oak Logs (IOU)"", ""quantity"": ""3"", ""rarity"": ""0.025"", ""chance"": ""140{\\displaystyle \\frac{1}{40}}""}, {""item"": ""Giant's Milk"", ""quantity"": ""1"", ""rarity"": ""0.025"", ""chance"": ""140{\\displaystyle \\frac{1}{40}}""}, {""item"": ""Iron Hatchet"", ""quantity"": ""1"", ""rarity"": ""0.025"", ""chance"": ""140{\\displaystyle \\frac{1}{40}}""}, {""item"": ""Iron Bar (IOU)"", ""quantity"": ""1"", ""rarity"": ""0.02"", ""chance"": ""150{\\displaystyle \\frac {1}{50}}""}, {""item"": ""Coal (IOU)"", ""quantity"": ""2"", ""rarity"": ""0.02"", ""chance"": ""150{\\displaystyle \\frac {1}{50}}""}, {""item"": ""Rare Loot Table"", ""quantity"": """", ""rarity"": ""0.02"", ""chance"": ""150{\\displaystyle \\frac {1}{50}}""}, {""item"": ""Half Calcium Brew"", ""quantity"": ""1"", ""rarity"": ""0.0125"", ""chance"": ""180{\\displaystyle {\\frac {1}{80}}}""}, {""item"": ""Iron Battleaxe"", ""quantity"": ""1"", ""rarity"": ""0.01"", ""chance"": ""1100{\\displaystyle \\frac {1}{100}}""}, {""item"": ""Iron Longsword"", ""quantity"": ""1"", ""rarity"": ""0.01"", ""chance"": ""1100{\\displaystyle \\frac {1}{100}}""}, {""item"": ""Iron Pickaxe"", ""quantity"": ""1"", ""rarity"": ""0.01"", ""chance"": ""1100{\\displaystyle \\frac {1}{100}}""}, {""item"": ""Iron Helm"", ""quantity"": ""1"", ""rarity"": ""0.01"", ""chance"": ""1100{\\displaystyle \\frac {1}{100}}""}, {""item"": ""Iron Full Helm"", ""quantity"": ""1"", ""rarity"": ""0.0075"", ""chance"": ""1133.333{\\displaystyle {\\frac {1}{133.333}}}""}, {""item"": ""Iron Platelegs"", ""quantity"": ""1"", ""rarity"": ""0.0075"", ""chance"": ""1133.333{\\displaystyle {\\frac {1}{133.333}}}""}, {""item"": ""Iron Shield"", ""quantity"": ""1"", ""rarity"": ""0.006"", ""chance"": ""1166.667{\\displaystyle {\\frac {1}{166.667}}}""}, {""item"": ""Iron Great Sword"", ""quantity"": ""1"", ""rarity"": ""0.006"", ""chance"": ""1166.667{\\displaystyle {\\frac {1}{166.667}}}""}, {""item"": ""Iron Chestplate"", ""quantity"": ""1"", ""rarity"": ""0.005"", ""chance"": ""1200{\\displaystyle \\frac{1}{200}}""}, {""item"": ""Emerald Necklace"", ""quantity"": ""1"", ""rarity"": ""0.005"", ""chance"": ""1200{\\displaystyle \\frac{1}{200}}""}]"
Gnome,https://highspell.fandom.com/wiki/Gnome,8,12,???,No,5,5,6,10 + 5 bonus,1,1,Unknown,[]
Goblin (Lvl 12 Melee),https://highspell.fandom.com/wiki/Goblin_(Lvl_12_Melee),12,12,???,No,10,12,8,1,1,1,Unknown,[]
Goblin (Lvl 12 Archer),https://highspell.fandom.com/wiki/Goblin_(Lvl_12_Archer),12,12,???,Yes,10,12,8,1,10 + 5 bonus,1,Unknown,[]
Goblin (Lvl 24),https://highspell.fandom.com/wiki/Goblin_(Lvl_24),24,24,???,Yes,20,24,20,1,1,1,Unknown,[]
Goblin (Lvl 38),https://highspell.fandom.com/wiki/Goblin_(Lvl_38),38,40,???,Yes,30,40,28,1,1,1,Unknown,[]
Guard (Lvl 10),https://highspell.fandom.com/wiki/Guard_(Lvl_10),10,16,???,No,5 + 2 bonus,5,7 + 10 bonus,1,1,1,Unknown,[]
Guard (Lvl 18),https://highspell.fandom.com/wiki/Guard_(Lvl_18),18,22,???,No,14 + 3 bonus,15 + 3 bonus,12 + 10 bonus,1,1,1,Unknown,[]
Suit of Armour (Lvl 28),https://highspell.fandom.com/wiki/Headless_Warrior_(Lvl_30,30,30,???,No,20 + 10 bonus,20 + 10 bonus,20 + 15 bonus,1,1,1,Unknown,[]
Suit of Armour (Lvl 44),https://highspell.fandom.com/wiki/Headless_Warrior_(Lvl_44),44,45,???,Yes,30 + 20 bonus,30 + 25 bonus,35 + 35 bonus,1,1,1,Unknown,[]
Suit of Armour (Lvl 87),https://highspell.fandom.com/wiki/Headless_Warrior_(Lvl_87),87,95,???,Yes,85 + 40 bonus,85 + 50 bonus,85 + 100 bonus,1,1,1,Unknown,[]
Hell Giant,https://highspell.fandom.com/wiki/Hell_giant,107,110,???,Yes,90 + 25 bonus,90 + 40 bonus,90 + 40 bonus,1,1,1,60s,[]
Hell Rat,https://highspell.fandom.com/wiki/Hell_rat,26,30,???,Yes,20,30,15,1,1,1,Unknown,[]
Hell Warrior,https://highspell.fandom.com/wiki/Hell_warrior,77,88,???,Yes,50 + 20 bonus,50 + 30 bonus,50 + 30 bonus,1,1,1,Unknown,[]
Hermit,https://highspell.fandom.com/wiki/Hermit,20,24,???,Yes,10,10,15,1,1,1,Unknown,[]
Isradore's Chicken,https://highspell.fandom.com/wiki/Isradore%27s_Chicken,30,35,N/A,Yes,20,10,20,1,1,1,Unknown,[]
Isradore's Dragon,https://highspell.fandom.com/wiki/Isradore%27s_Dragon,103,110,N/A,Yes,75,85,75 + 75 bonus,70,1,1,Unknown,[]
Isradore's Rat,https://highspell.fandom.com/wiki/Isradore%27s_Rat,56,55,N/A,Yes,45,40,35,1,1,1,Unknown,[]
Knight (Lvl 45),https://highspell.fandom.com/wiki/Knight_(Lvl_45),45,55,???,No,30 + 10 bonus,30 + 10 bonus,25 + 20 bonus,1,1,1,Unknown,[]
Knight (Lvl 60),https://highspell.fandom.com/wiki/Knight_(Lvl_60),60,65,???,No,50 + 15 bonus,50 +20 bonus,40 + 40 bonus,1,1,1,Unknown,[]
Leprechaun,https://highspell.fandom.com/wiki/Leprechaun,27,30,???,No,20 + 5 bonus,20 + 10 bonus,25 + 10 bonus,20,1,1,Unknown,[]
Lumberjack,https://highspell.fandom.com/wiki/Lumberjack,10,16,???,No,2,10 + 5 bonus,6,1,1,1,Unknown,[]
Man,https://highspell.fandom.com/wiki/Man,5,12,???,No,3,3,2,1,1,1,Unknown,"[{""item"": ""Bones"", ""quantity"": ""1"", ""rarity"": ""Always"", ""chance"": """"}, {""item"": ""Coins"", ""quantity"": ""3"", ""rarity"": ""0.2"", ""chance"": ""15{\\displaystyle \\frac{1}{5}}""}, {""item"": ""Coins"", ""quantity"": ""5"", ""rarity"": ""0.1"", ""chance"": ""110{\\displaystyle \\frac{1}{10}}""}, {""item"": ""Scroll"", ""quantity"": ""1"", ""rarity"": ""0.1"", ""chance"": ""110{\\displaystyle \\frac{1}{10}}""}, {""item"": ""Raw bass"", ""quantity"": ""1"", ""rarity"": ""0.1"", ""chance"": ""110{\\displaystyle \\frac{1}{10}}""}, {""item"": ""Basic rod"", ""quantity"": ""1"", ""rarity"": ""0.1"", ""chance"": ""110{\\displaystyle \\frac{1}{10}}""}, {""item"": ""Logs"", ""quantity"": ""1"", ""rarity"": ""0.1"", ""chance"": ""110{\\displaystyle \\frac{1}{10}}""}, {""item"": ""Raw bluegill"", ""quantity"": ""1"", ""rarity"": ""0.08"", ""chance"": ""112.5{\\displaystyle {\\frac {1}{12.5}}}""}, {""item"": ""Chisel"", ""quantity"": ""1"", ""rarity"": ""0.075"", ""chance"": ""113.333{\\displaystyle {\\frac {1}{13.333}}}""}, {""item"": ""Bronze gloves"", ""quantity"": ""1"", ""rarity"": ""0.05"", ""chance"": ""120{\\displaystyle \\frac{1}{20}}""}, {""item"": ""Bronze helm"", ""quantity"": ""1"", ""rarity"": ""0.04"", ""chance"": ""125{\\displaystyle \\frac{1}{25}}""}]"
Martial Artist,https://highspell.fandom.com/wiki/Martial_artist,30,30,???,No,20 + 10 bonus,20 + 10 bonus,20 + 5 bonus,1,1,1,Unknown,[]
Minotaur,https://highspell.fandom.com/wiki/Minotaur,80,80,???,Yes,65,70,70,1,1,1,Unknown,[]
Nisse,https://highspell.fandom.com/wiki/Nisse,2,5,???,No,1,1,1,1,1,1,Unknown,[]
Old Man,https://highspell.fandom.com/wiki/Old_man,5,12,???,No,3,1,3,1,1,1,Unknown,[]
Pirate,https://highspell.fandom.com/wiki/Pirate,29,25,5,Yes,30 + 5 bonus,25 + 4 bonus,30,1,1,1,Unknown,[]
Plains Dragon,https://highspell.fandom.com/wiki/Plains_dragon,84,85,???,Yes,70,70,50 + 30 bonus,70,1,1,Unknown,[]
Rat,https://highspell.fandom.com/wiki/Rat,1,3,???,No,1,1,1,1,1,1,Unknown,[]
Rooster,https://highspell.fandom.com/wiki/Rooster,4,8,???,Yes,4,8,3,1,1,1,Unknown,[]
Sage,https://highspell.fandom.com/wiki/Sage,27,28,???,No,15,15,30 + 10 bonus,1 + 10 bonus,1,1,Unknown,[]
Sewer rat,https://highspell.fandom.com/wiki/Sewer_rat,10,12,Unknown,Yes,10,10,8,1,1,1,Unknown,[]
Skeletal Dwarf,https://highspell.fandom.com/wiki/Skeletal_Dwarf,44,56,???,???,32 + 10 bonus,38 + 10 bonus,25 + 25 bonus,1,1,1,Unknown,[]
Skeletal Mage,https://highspell.fandom.com/wiki/Skeletal_mage,39,40,???,Yes,35,35,35 + 5 bonus,30 + 20 bonus,1,1,Unknown,[]
Skeleton (Lvl 20),https://highspell.fandom.com/wiki/Skeleton_(Lvl_20),20,18,???,Yes,20,20,20,1,1,1,Unknown,[]
Skeleton (Lvl 45),https://highspell.fandom.com/wiki/Skeleton_(Lvl_45),45,45,???,Yes,40 + 15 bonus,40 + 15 bonus,40 + 20 bonus,1,1,1,Unknown,[]
Squire,https://highspell.fandom.com/wiki/Squire,20,24,3,No,15 + 10 bonus,15 + 10 bonus,15 + 10 bonus,1,1,1,Unknown,[]
Squirrel,https://highspell.fandom.com/wiki/Squirrel,2,4,2,No,1,2,2,1,1,1,Unknown,[]
Undead Pirate,https://highspell.fandom.com/wiki/Undead_Pirate,34,35,?,Yes,30,30,25,1,1,1,Unknown,[]
Water Dragon,https://highspell.fandom.com/wiki/Water_Dragon,109,100,N/A,Yes,85,90,85 + 65 bonus,80,1,1,Unknown,[]
Witch,https://highspell.fandom.com/wiki/Witch,15,20,Unknown,Yes,10,10,10,15,1,1,Unknown,[]
Wizard (Lvl 16),https://highspell.fandom.com/wiki/Wizard_(Lvl_16),16,22,???,No,10 + 3 bonus,10 + 3 bonus,10 + 3 bonus,18 + 10 bonus,1,1,Unknown,[]
Wizard (Lvl 40),https://highspell.fandom.com/wiki/Wizard_(Lvl_40),40,45,???,No,30 + 3 bonus,30 + 3 bonus,25 + 3 bonus,35 + 20 bonus,1,1,Unknown,[]
Zombie (Lvl 16),https://highspell.fandom.com/wiki/Zombie_(Lvl_16),16,20,???,Yes,14,17,16,1,1,1,Unknown,[]
Zombie (Lvl 24),https://highspell.fandom.com/wiki/Zombie_(Lvl_24),24,28,???,Yes,20 + 3 bonus,20 + 3 bonus,20 + 5 bonus,1,1,1,Unknown,[]
